"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"HORVU.MOREX.r3.1HG0003240",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0003260",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0003270",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0003280",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0003290",100.62441921998,3.21619374922407e-07,0.00144268008635762,0.923870511846594,0.999875898879627
"HORVU.MOREX.r3.1HG0003300",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0003310",11.8140762708843,-1.30072108402689e-06,0.00144269156174349,0.430522351052143,NA
"HORVU.MOREX.r3.1HG0003380",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0003390",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0003410",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0003430",1654.6781148648,-1.09375089233957e-05,0.00144262276030967,0.450841777593689,0.999875898879627
"HORVU.MOREX.r3.1HG0003440",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0003450",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0003470",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0003490",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0003520",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0003550",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0003580",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0003590",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0003600",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0003610",122.134426021776,-5.72988596075298e-07,0.00144267189896546,0.88757375182001,0.999875898879627
"HORVU.MOREX.r3.1HG0003620",75.8955550975095,-9.74023542426044e-07,0.00144268723466956,0.682754612464492,0.999875898879627
"HORVU.MOREX.r3.1HG0003630",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0003650",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0003660",8.98789027506833,-2.36802946667604e-06,0.00144269357760689,0.0792642028443118,NA
"HORVU.MOREX.r3.1HG0003690",2425.4293188606,1.64584858757556e-07,0.00144261934664688,0.983491752198009,0.999875898879627
"HORVU.MOREX.r3.1HG0003700",0.230816449002115,1.98652128462473e-07,0.00144269499420952,0.68983364141237,NA
"HORVU.MOREX.r3.1HG0003710",124.275606055345,-3.1786150513649e-07,0.0014426797963883,0.921726329496889,0.999875898879627
"HORVU.MOREX.r3.1HG0003720",9.87540362344563,1.39122233317589e-07,0.00144269108342673,0.936248533414132,NA
"HORVU.MOREX.r3.1HG0003780",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0003800",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0003810",0.457262247692237,-6.75817062209331e-09,0.00144269487791773,0.992202029827486,NA
"HORVU.MOREX.r3.1HG0003820",2.6726420571691,-1.77716040564313e-07,0.00144269478646376,0.683857677890708,NA
"HORVU.MOREX.r3.1HG0003860",533.395901300783,-2.3004157274815e-06,0.0014426481050071,0.69431213303725,0.999875898879627
"HORVU.MOREX.r3.1HG0003870",0.461632898004231,2.35393723114054e-07,0.00144269500972316,0.499885181895761,NA
