	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
HORVU.MOREX.r3.1HG0002260	0.628728785831896	2.75566974348427	3.97503230422226	0.693244616039273	0.488156053254789	NA
HORVU.MOREX.r3.1HG0002280	25.3827689998283	1.21390072723162	0.814643580991377	1.49010040164358	0.136197838615167	0.889316297106332
HORVU.MOREX.r3.1HG0002320	163.322768353195	-0.0594137740727585	0.418503038404899	-0.141967366113304	0.887105782623542	0.999457307108351
HORVU.MOREX.r3.1HG0002330	2085.50991530559	0.00432712425739512	0.226936292779193	0.0190675726848388	0.984787199973886	0.999457307108351
HORVU.MOREX.r3.1HG0002340	596.83816185252	0.0212739051611755	0.21574160615778	0.0986082635614435	0.92144930862913	0.999457307108351
HORVU.MOREX.r3.1HG0002350	6337.46434013523	-0.452955045298908	0.259775664799183	-1.74363924984682	0.081222014667719	0.797826753410527
HORVU.MOREX.r3.1HG0002380	0.337363605808101	-1.91202681251289	4.03852462603024	-0.473446862299404	0.635894403094606	NA
HORVU.MOREX.r3.1HG0002390	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0002400	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0002410	19.0623960216691	0.962885663900745	0.765598073661443	1.2576908132694	0.208503595939496	0.969667967657131
HORVU.MOREX.r3.1HG0002440	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0002450	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0002470	2.33268784282255	-1.42039406470966	1.8022608547597	-0.788117913651875	0.430627737873462	NA
HORVU.MOREX.r3.1HG0002500	7.22171842169633	0.104541697001418	1.02232337403159	0.102258932600897	0.918551151410635	0.999457307108351
HORVU.MOREX.r3.1HG0002510	11118.0770971989	0.146843742253612	0.174872386275501	0.839719439879252	0.401065711643393	0.999457307108351
HORVU.MOREX.r3.1HG0002520	11.839488719518	-0.247281247965168	0.98079732484314	-0.252122677847552	0.800946241656129	0.999457307108351
HORVU.MOREX.r3.1HG0002530	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0002560	201.066709250132	-0.196375111485954	0.265068722529772	-0.740846032726091	0.458786800528107	0.999457307108351
HORVU.MOREX.r3.1HG0002570	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0002580	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0002590	314.87857751986	0.0893047724358921	0.235617302543581	0.379024678883139	0.704669537648754	0.999457307108351
HORVU.MOREX.r3.1HG0002630	45.9522164483005	0.466445090210436	0.528333698298795	0.882860759615302	0.37731150733151	0.999457307108351
HORVU.MOREX.r3.1HG0002640	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0002660	1154.43116931894	0.0305849214818339	0.152989285570556	0.199915447462683	0.841546708984791	0.999457307108351
HORVU.MOREX.r3.1HG0002670	10.287851583915	1.02606001088275	1.42131198757073	0.721910474164409	0.47034952115679	0.999457307108351
HORVU.MOREX.r3.1HG0002680	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0002690	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0002750	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0002770	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0002800	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0002810	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0002820	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0002830	1472.48357476376	0.172273875546709	0.176831097831357	0.974228388894613	0.329943151937886	0.999457307108351
HORVU.MOREX.r3.1HG0002840	3390.75432400733	0.244978078952572	0.205508219369957	1.19205976142279	0.233237813298647	0.994523358857359
HORVU.MOREX.r3.1HG0002850	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0002860	22.5847920588407	0.0252410532722245	0.608177738159987	0.0415027576454707	0.966895094466814	0.999457307108351
HORVU.MOREX.r3.1HG0002870	762.069589087215	-0.276487212174242	0.223810038804494	-1.23536555219386	0.216694487194366	0.977356403179936
